,created_at,id_str,text,source,in_reply_to_user_id,in_reply_to_screen_name,in_reply_to_status_id,retweet_count,contributors
101,Tue Nov 05 00:00:05 +0000 2013,397513613931319296,@Jescmillav sepp,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",1118381540,Jescmillav,397511317977718800,0,NULL
102,Tue Nov 05 00:00:05 +0000 2013,397513613901959168,RT @Rewire_Me: What Is It Like to Be Autistic? Hit ‘Play.’ http://t.co/mD16CFNRPl,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NULL,NULL,NULL,0,NULL
103,Tue Nov 05 00:00:05 +0000 2013,397513613910765568,I wanna wrestling to start already,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
104,Tue Nov 05 00:00:05 +0000 2013,397513613914537984,Conheça o meu site http://t.co/lrvwNKLk4c via @Webnode,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",NULL,NULL,NULL,0,NULL
105,Tue Nov 05 00:00:05 +0000 2013,397513613931741184,...I came in like a wrecking ball,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
106,Tue Nov 05 00:00:05 +0000 2013,397513613906563072,“@yasdnilwebb: I need a keurig in my life ☕️” I've been saying this for 2 years and none of my loved ones took the hint at Christmas 😂😭😭,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",192708153,yasdnilwebb,397507169320722400,0,NULL
107,Tue Nov 05 00:00:05 +0000 2013,397513613901967360,Humildade: quem tem vai longe.,web,NULL,NULL,NULL,0,NULL
108,Tue Nov 05 00:00:05 +0000 2013,397513613923348480,Thank you koç,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
109,Tue Nov 05 00:00:05 +0000 2013,397513613910372352,@K2raGntm やだよん(・ω・),"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1043071261,K2raGntm,397512802266402800,0,NULL
110,Tue Nov 05 00:00:05 +0000 2013,397513613910740992,*fam,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
111,Tue Nov 05 00:00:05 +0000 2013,397513613918756865,"Ga gitulah :p RT @sindy_riyuki: JKT48 :D @Abi_NPanda: Lgu apa? RT @sindy_riyuki: Jika jika kamu ragu, takkan bisa memulai apapun, ungkapkan","<a href=""http://twiterous.com"" rel=""nofollow"">Twiterous</a>",NULL,NULL,NULL,0,NULL
